Chi^2 Kaon Lines:
chi^2/NDF kaon = 2.1674
chi^2/NDF kaon = 1.80408
chi^2/NDF kaon = 1.90749
chi^2/NDF kaon = 2.84579
chi^2/NDF kaon = 3.17234
chi^2/NDF kaon = 1.81111
chi^2/NDF kaon = 3.59532
chi^2/NDF kaon = 2.36011
chi^2/NDF kaon = 2.08177
chi^2/NDF kaon = 2.25212
chi^2/NDF kaon = 1.63453
chi^2/NDF kaon = 2.05694
chi^2/NDF kaon = 2.01573
chi^2/NDF kaon = 2.34469
chi^2/NDF kaon = 3.13986
chi^2/NDF kaon = 2.2385
chi^2/NDF kaon = 2.44782
chi^2/NDF kaon = 3.44194
chi^2/NDF kaon = 2.45099
chi^2/NDF kaon = 2.54361
chi^2/NDF kaon = 2.36426
chi^2/NDF kaon = 2.6182
chi^2/NDF kaon = 3.25652
chi^2/NDF kaon = 2.5895
chi^2/NDF kaon = 2.19517
chi^2/NDF kaon = 2.16938
chi^2/NDF kaon = 2.47563
chi^2/NDF kaon = 2.16594
chi^2/NDF kaon = 2.03999
chi^2/NDF kaon = 2.54404
chi^2/NDF kaon = 2.53955
chi^2/NDF kaon = 2.63833
chi^2/NDF kaon = 3.89389
chi^2/NDF kaon = 2.31599
chi^2/NDF kaon = 2.24709
chi^2/NDF kaon = 26.2629
chi^2/NDF kaon = 2.37911
chi^2/NDF kaon = 2.60838
chi^2/NDF kaon = 2.93388
chi^2/NDF kaon = 1.68515
chi^2/NDF kaon = 2.11736
chi^2/NDF kaon = 2.51744
chi^2/NDF kaon = 2.21606
chi^2/NDF kaon = 1.92258
chi^2/NDF kaon = 2.86576
chi^2/NDF kaon = 2.14757
chi^2/NDF kaon = 2.13125
chi^2/NDF kaon = 3.46836
chi^2/NDF kaon = 1.88894
chi^2/NDF kaon = 2.15846
chi^2/NDF kaon = 107.968
chi^2/NDF kaon = 2.13489
chi^2/NDF kaon = 3.0966
chi^2/NDF kaon = 4.62644
chi^2/NDF kaon = 2.25077
chi^2/NDF kaon = 2.29988
chi^2/NDF kaon = 2.30815
chi^2/NDF kaon = 2.28135
chi^2/NDF kaon = 1.67902
chi^2/NDF kaon = 2.19211
chi^2/NDF kaon = 1.97444
chi^2/NDF kaon = 2.99956
chi^2/NDF kaon = 2.25851
chi^2/NDF kaon = 1.98003
chi^2/NDF kaon = 2.06081
chi^2/NDF kaon = 2.73786
chi^2/NDF kaon = 1.81178
chi^2/NDF kaon = 1.77099
chi^2/NDF kaon = 1.88705
chi^2/NDF kaon = 3.67094
chi^2/NDF kaon = 2.31593
chi^2/NDF kaon = 3.71364
chi^2/NDF kaon = 1.94738
chi^2/NDF kaon = 2.04356
chi^2/NDF kaon = 4.14187
chi^2/NDF kaon = 2.48333
chi^2/NDF kaon = 2.66648
chi^2/NDF kaon = 3.30804
chi^2/NDF kaon = 2.85014
chi^2/NDF kaon = 2.52762
chi^2/NDF kaon = 2.6564
chi^2/NDF kaon = 3.38201
chi^2/NDF kaon = 3.79385
chi^2/NDF kaon = 2.30494
chi^2/NDF kaon = 1.75073
chi^2/NDF kaon = 3.07607
chi^2/NDF kaon = 2.53602
chi^2/NDF kaon = 2.65026
chi^2/NDF kaon = 2.55866
chi^2/NDF kaon = 2.32575
chi^2/NDF kaon = 2.55095
chi^2/NDF kaon = 2.2775
chi^2/NDF kaon = 1.98728
chi^2/NDF kaon = 2.54682
chi^2/NDF kaon = 2.14148
chi^2/NDF kaon = 2.12546
chi^2/NDF kaon = 5.81637
chi^2/NDF kaon = 8.79753
chi^2/NDF kaon = 2.1133
chi^2/NDF kaon = 4.1791
chi^2/NDF kaon = 2.5132
chi^2/NDF kaon = 2.51395
chi^2/NDF kaon = 2.44455
chi^2/NDF kaon = 2.08946
chi^2/NDF kaon = 2.25025
chi^2/NDF kaon = 2.74081
chi^2/NDF kaon = 1.60584
chi^2/NDF kaon = 2.27146
chi^2/NDF kaon = 2.19999
chi^2/NDF kaon = 1.73151
chi^2/NDF kaon = 1.92108
chi^2/NDF kaon = 3.71024
chi^2/NDF kaon = 3.03028
chi^2/NDF kaon = 1.21786
chi^2/NDF kaon = 2.11096
chi^2/NDF kaon = 1.42431
chi^2/NDF kaon = 3.4662
chi^2/NDF kaon = 2.34827
chi^2/NDF kaon = 1.93092
chi^2/NDF kaon = 1.87956
chi^2/NDF kaon = 1.6724
chi^2/NDF kaon = 1.61386
chi^2/NDF kaon = 2.00421
chi^2/NDF kaon = 1.85018
chi^2/NDF kaon = 2.64744
chi^2/NDF kaon = 2.41909
chi^2/NDF kaon = 1.95971
chi^2/NDF kaon = 3.02282
chi^2/NDF kaon = 2.46538
chi^2/NDF kaon = 3.11264
chi^2/NDF kaon = 2.44065
chi^2/NDF kaon = 1.73286
chi^2/NDF kaon = 2.26038
chi^2/NDF kaon = 1.82612
chi^2/NDF kaon = 1.92488
chi^2/NDF kaon = 1.91064
chi^2/NDF kaon = 2.24182
chi^2/NDF kaon = 2.00379
chi^2/NDF kaon = 2.19079
chi^2/NDF kaon = 2.15385
chi^2/NDF kaon = 2.18691
chi^2/NDF kaon = 2.19268
chi^2/NDF kaon = 2.00632
chi^2/NDF kaon = 1.6431
chi^2/NDF kaon = 2.72703
chi^2/NDF kaon = 3.75165
chi^2/NDF kaon = 1.78038
chi^2/NDF kaon = 2.8882
chi^2/NDF kaon = 1.68984
chi^2/NDF kaon = 2.78068
chi^2/NDF kaon = 2.27585
chi^2/NDF kaon = 1.90768
chi^2/NDF kaon = 1.99174
chi^2/NDF kaon = 2.11965
chi^2/NDF kaon = 2.09265
chi^2/NDF kaon = 2.28996
chi^2/NDF kaon = 2.04132
chi^2/NDF kaon = 2.08419
chi^2/NDF kaon = 3.13049
chi^2/NDF kaon = 2.35089
chi^2/NDF kaon = 2.69024
chi^2/NDF kaon = 1.67704
chi^2/NDF kaon = 1.65721
chi^2/NDF kaon = 2.41123
chi^2/NDF kaon = 2.03205
chi^2/NDF kaon = 1.9413
chi^2/NDF kaon = 2.26218
chi^2/NDF kaon = 1.74294
chi^2/NDF kaon = 2.37354
chi^2/NDF kaon = 2.27787
chi^2/NDF kaon = 2.19927
chi^2/NDF kaon = 2.54129
chi^2/NDF kaon = 2.14796
chi^2/NDF kaon = 1.62693
chi^2/NDF kaon = 2.77014
chi^2/NDF kaon = 1.91003
chi^2/NDF kaon = 1.97282
chi^2/NDF kaon = 2.1212
chi^2/NDF kaon = 2.28423
chi^2/NDF kaon = 2.06202
chi^2/NDF kaon = 1.82714
chi^2/NDF kaon = 7.29529
chi^2/NDF kaon = 2.2281
chi^2/NDF kaon = 2.4306
chi^2/NDF kaon = 2.06999
chi^2/NDF kaon = 1.69318
chi^2/NDF kaon = 1.84503
chi^2/NDF kaon = 2.69553
chi^2/NDF kaon = 2.33544
chi^2/NDF kaon = 2.02015
chi^2/NDF kaon = 2.54566
chi^2/NDF kaon = 2.30207
chi^2/NDF kaon = 1.57647
chi^2/NDF kaon = 2.2478
chi^2/NDF kaon = 2.86617
chi^2/NDF kaon = 2.3185
chi^2/NDF kaon = 2.06472
chi^2/NDF kaon = 1.75889
chi^2/NDF kaon = 2.06401
chi^2/NDF kaon = 2.10626
chi^2/NDF kaon = 2.5689
chi^2/NDF kaon = 1.52684
chi^2/NDF kaon = 2.03305
chi^2/NDF kaon = 2.27333
chi^2/NDF kaon = 2.40769
chi^2/NDF kaon = 2.33422
chi^2/NDF kaon = 2.24825
chi^2/NDF kaon = 1.80295
chi^2/NDF kaon = 2.527
chi^2/NDF kaon = 1.84122
chi^2/NDF kaon = 2.03992
chi^2/NDF kaon = 2.70107
chi^2/NDF kaon = 2.32289
chi^2/NDF kaon = 2.63523
chi^2/NDF kaon = 2.28732
chi^2/NDF kaon = 1.45307
chi^2/NDF kaon = 2.3277
chi^2/NDF kaon = 2.6997
chi^2/NDF kaon = 2.42842
chi^2/NDF kaon = 2.14065
chi^2/NDF kaon = 2.07746
chi^2/NDF kaon = 2.2926
chi^2/NDF kaon = 2.4322
chi^2/NDF kaon = 1.54333
chi^2/NDF kaon = 2.08437
chi^2/NDF kaon = 2.2633
chi^2/NDF kaon = 3.34982
chi^2/NDF kaon = 2.27024
chi^2/NDF kaon = 1.82337
chi^2/NDF kaon = 7.30212
chi^2/NDF kaon = 2.13269
chi^2/NDF kaon = 2.37083
chi^2/NDF kaon = 1.72257
chi^2/NDF kaon = 1.67184
chi^2/NDF kaon = 2.77641
chi^2/NDF kaon = 1.90556
chi^2/NDF kaon = 2.3822
chi^2/NDF kaon = 2.36466
chi^2/NDF kaon = 2.16433
chi^2/NDF kaon = 3.51498
chi^2/NDF kaon = 1.89397
chi^2/NDF kaon = 2.09635
chi^2/NDF kaon = 1.86432
chi^2/NDF kaon = 4.05127
chi^2/NDF kaon = 1.98154
chi^2/NDF kaon = 2.28725
chi^2/NDF kaon = 3.21067
chi^2/NDF kaon = 2.31871
chi^2/NDF kaon = 1.94043
chi^2/NDF kaon = 4.12401
chi^2/NDF kaon = 2.83265
