Chi^2 Kaon Lines:
chi^2/NDF kaon = 2.01123
chi^2/NDF kaon = 10.6044
chi^2/NDF kaon = 30.5717
chi^2/NDF kaon = 61.6428
chi^2/NDF kaon = 3.33675
chi^2/NDF kaon = 9.48363
chi^2/NDF kaon = 191.246
chi^2/NDF kaon = 3.51634
chi^2/NDF kaon = 4.29839
chi^2/NDF kaon = 21.2283
chi^2/NDF kaon = 322.165
chi^2/NDF kaon = 4.10019
chi^2/NDF kaon = 534.187
chi^2/NDF kaon = 3.52421
chi^2/NDF kaon = 4.08985
chi^2/NDF kaon = 11.664
chi^2/NDF kaon = 10.0478
chi^2/NDF kaon = 25.6881
chi^2/NDF kaon = 28.6347
chi^2/NDF kaon = 2.56746
chi^2/NDF kaon = 51.0822
chi^2/NDF kaon = 477.503
chi^2/NDF kaon = 5.1571
chi^2/NDF kaon = 6.33215
chi^2/NDF kaon = 1.88062
chi^2/NDF kaon = 11.7294
chi^2/NDF kaon = 36.3127
chi^2/NDF kaon = 3.81256
chi^2/NDF kaon = 180.758
chi^2/NDF kaon = 94.129
chi^2/NDF kaon = 4.30058
chi^2/NDF kaon = 125.496
chi^2/NDF kaon = 65.9048
chi^2/NDF kaon = 4.39662
chi^2/NDF kaon = 126.654
chi^2/NDF kaon = 2.65348
chi^2/NDF kaon = 3.43401
chi^2/NDF kaon = 438.252
chi^2/NDF kaon = 2.88472
chi^2/NDF kaon = 44.4232
chi^2/NDF kaon = 21.0314
chi^2/NDF kaon = 4.31154
chi^2/NDF kaon = 21.267
chi^2/NDF kaon = 25.5312
chi^2/NDF kaon = 29.2949
chi^2/NDF kaon = 64.1325
chi^2/NDF kaon = 71.2137
chi^2/NDF kaon = 5.33471
chi^2/NDF kaon = 83.8818
chi^2/NDF kaon = 187.66
chi^2/NDF kaon = 10.9418
chi^2/NDF kaon = 67.9713
chi^2/NDF kaon = 8.43227
chi^2/NDF kaon = 140.582
chi^2/NDF kaon = 177.498
chi^2/NDF kaon = 171.647
chi^2/NDF kaon = 34.7966
chi^2/NDF kaon = 13.4702
chi^2/NDF kaon = 271.372
chi^2/NDF kaon = 13.1586
chi^2/NDF kaon = 3.99817
chi^2/NDF kaon = 11.0352
chi^2/NDF kaon = 3.46149
chi^2/NDF kaon = 3.90739
chi^2/NDF kaon = 293.345
chi^2/NDF kaon = 3.58401
chi^2/NDF kaon = 158.788
chi^2/NDF kaon = 31.5006
chi^2/NDF kaon = 128.835
chi^2/NDF kaon = 3.51414
chi^2/NDF kaon = 68.2761
chi^2/NDF kaon = 2.91354
chi^2/NDF kaon = 17.8146
chi^2/NDF kaon = 1.97416
chi^2/NDF kaon = 4.13305
chi^2/NDF kaon = 8.55693
chi^2/NDF kaon = 6.74019
chi^2/NDF kaon = 116.339
chi^2/NDF kaon = 38.7266
chi^2/NDF kaon = 214.395
chi^2/NDF kaon = 4.70321
chi^2/NDF kaon = 4.11036
chi^2/NDF kaon = 60.4342
chi^2/NDF kaon = 10.897
chi^2/NDF kaon = 3.41515
chi^2/NDF kaon = 2.27897
chi^2/NDF kaon = 51.0381
chi^2/NDF kaon = 6.21786
chi^2/NDF kaon = 2.20781
chi^2/NDF kaon = 5.4558
chi^2/NDF kaon = 116.794
chi^2/NDF kaon = 161.407
chi^2/NDF kaon = 4.41475
chi^2/NDF kaon = 125.892
chi^2/NDF kaon = 7.43791
chi^2/NDF kaon = 6.52013
chi^2/NDF kaon = 3.38768
chi^2/NDF kaon = 47.1022
chi^2/NDF kaon = 6.66916
chi^2/NDF kaon = 3.48744
