Chi^2 Kaon Lines:
chi^2/NDF kaon = 58.2478
chi^2/NDF kaon = 1.75735
chi^2/NDF kaon = 1.36547
chi^2/NDF kaon = 1.41179
chi^2/NDF kaon = 1.36579
chi^2/NDF kaon = 5.71325
chi^2/NDF kaon = 1.347
chi^2/NDF kaon = 1.47002
chi^2/NDF kaon = 1.89466
chi^2/NDF kaon = 1.67315
chi^2/NDF kaon = 1.68357
chi^2/NDF kaon = 1.92664
chi^2/NDF kaon = 1.74771
chi^2/NDF kaon = 63.7923
chi^2/NDF kaon = 1.39583
chi^2/NDF kaon = 1.7709
chi^2/NDF kaon = 1.83188
chi^2/NDF kaon = 1.69176
chi^2/NDF kaon = 1.39369
chi^2/NDF kaon = 1.68219
chi^2/NDF kaon = 1.25099
chi^2/NDF kaon = 1.56151
chi^2/NDF kaon = 48.7651
chi^2/NDF kaon = 70.0565
chi^2/NDF kaon = 1.99171
chi^2/NDF kaon = 131.33
chi^2/NDF kaon = 1.79218
chi^2/NDF kaon = 1.73921
chi^2/NDF kaon = 1.878
chi^2/NDF kaon = 1.37617
chi^2/NDF kaon = 5.04438
chi^2/NDF kaon = 1.25792
chi^2/NDF kaon = 1.78956
chi^2/NDF kaon = 29.9895
chi^2/NDF kaon = 1.57589
chi^2/NDF kaon = 1.65567
chi^2/NDF kaon = 1.26891
chi^2/NDF kaon = 4.47524
chi^2/NDF kaon = 1.32278
chi^2/NDF kaon = 1.36249
chi^2/NDF kaon = 1.75119
chi^2/NDF kaon = 1.44674
chi^2/NDF kaon = 1.40897
chi^2/NDF kaon = 1.84354
chi^2/NDF kaon = 1.44001
chi^2/NDF kaon = 1.68362
chi^2/NDF kaon = 1.34605
chi^2/NDF kaon = 21.4523
chi^2/NDF kaon = 1.75224
chi^2/NDF kaon = 1.33012
chi^2/NDF kaon = 1.90386
chi^2/NDF kaon = 59.5695
chi^2/NDF kaon = 1.39789
chi^2/NDF kaon = 1.44248
chi^2/NDF kaon = 1.7977
chi^2/NDF kaon = 1.6197
chi^2/NDF kaon = 1.73984
chi^2/NDF kaon = 1.56855
chi^2/NDF kaon = 1.31393
chi^2/NDF kaon = 1.40536
chi^2/NDF kaon = 1.2776
chi^2/NDF kaon = 60.8759
chi^2/NDF kaon = 1.45648
chi^2/NDF kaon = 1.35499
chi^2/NDF kaon = 1.2582
chi^2/NDF kaon = 1.63147
chi^2/NDF kaon = 1.29294
chi^2/NDF kaon = 1.65782
chi^2/NDF kaon = 1.88261
chi^2/NDF kaon = 1.94545
chi^2/NDF kaon = 1.78135
chi^2/NDF kaon = 1.34873
chi^2/NDF kaon = 1.78486
chi^2/NDF kaon = 1.42927
chi^2/NDF kaon = 1.56538
chi^2/NDF kaon = 1.18933
chi^2/NDF kaon = 1.74202
chi^2/NDF kaon = 1.77994
chi^2/NDF kaon = 1.83068
chi^2/NDF kaon = 1.75614
chi^2/NDF kaon = 1.71318
chi^2/NDF kaon = 1.38668
chi^2/NDF kaon = 1.73564
chi^2/NDF kaon = 40.64
chi^2/NDF kaon = 1.4804
chi^2/NDF kaon = 1.49371
chi^2/NDF kaon = 1.34851
chi^2/NDF kaon = 1.35088
chi^2/NDF kaon = 1.79785
chi^2/NDF kaon = 1.79475
chi^2/NDF kaon = 1.8236
chi^2/NDF kaon = 1.7995
chi^2/NDF kaon = 27.2316
chi^2/NDF kaon = 2.01463
chi^2/NDF kaon = 1.26042
chi^2/NDF kaon = 1.45578
chi^2/NDF kaon = 1.50846
chi^2/NDF kaon = 1.6228
chi^2/NDF kaon = 1.40434
chi^2/NDF kaon = 1.38815
chi^2/NDF kaon = 26.6503
chi^2/NDF kaon = 5.45036
chi^2/NDF kaon = 1.90601
chi^2/NDF kaon = 34.2646
chi^2/NDF kaon = 1.69777
chi^2/NDF kaon = 1.64433
chi^2/NDF kaon = 1.49496
chi^2/NDF kaon = 1.43086
chi^2/NDF kaon = 69.1326
chi^2/NDF kaon = 1.87408
chi^2/NDF kaon = 1.91379
chi^2/NDF kaon = 1.93721
chi^2/NDF kaon = 1.60946
chi^2/NDF kaon = 1.34949
chi^2/NDF kaon = 1.79736
chi^2/NDF kaon = 10.7298
chi^2/NDF kaon = 53.7451
chi^2/NDF kaon = 1.5488
chi^2/NDF kaon = 1.51502
chi^2/NDF kaon = 1.84825
chi^2/NDF kaon = 1.84558
chi^2/NDF kaon = 73.238
chi^2/NDF kaon = 1.43837
chi^2/NDF kaon = 1.64118
chi^2/NDF kaon = 62.147
chi^2/NDF kaon = 1.91306
chi^2/NDF kaon = 151.98
chi^2/NDF kaon = 1.83712
chi^2/NDF kaon = 1.85173
chi^2/NDF kaon = 1.8821
chi^2/NDF kaon = 1.78962
chi^2/NDF kaon = 1.42961
chi^2/NDF kaon = 1.36734
chi^2/NDF kaon = 22.9033
chi^2/NDF kaon = 1.88363
chi^2/NDF kaon = 1.47659
chi^2/NDF kaon = 1.39707
chi^2/NDF kaon = 1.40485
chi^2/NDF kaon = 1.98437
chi^2/NDF kaon = 1.82486
chi^2/NDF kaon = 1.8229
chi^2/NDF kaon = 1.43158
chi^2/NDF kaon = 1.44572
chi^2/NDF kaon = 1.36789
chi^2/NDF kaon = 86.7132
