chi^2 double peak:
chi^2/NDF kaon = 2.14741
chi^2/NDF kaon = 2.3379
chi^2/NDF kaon = 2.44323
chi^2/NDF kaon = 1.5679
chi^2/NDF kaon = 2.67806
chi^2/NDF kaon = 1.80456
chi^2/NDF kaon = 2.56096
chi^2/NDF kaon = 2.75236
chi^2/NDF kaon = 1.70208
chi^2/NDF kaon = 4.30109
chi^2/NDF kaon = 2.40821
chi^2/NDF kaon = 1.70928
chi^2/NDF kaon = 2.13544
chi^2/NDF kaon = 2.55881
chi^2/NDF kaon = 2.14979
chi^2/NDF kaon = 1.7454
chi^2/NDF kaon = 1.91592
chi^2/NDF kaon = 2.25963
chi^2/NDF kaon = 2.779
chi^2/NDF kaon = 2.47152
chi^2/NDF kaon = 2.34551
chi^2/NDF kaon = 2.80856
chi^2/NDF kaon = 1.97122
chi^2/NDF kaon = 2.20776
chi^2/NDF kaon = 2.35848
chi^2/NDF kaon = 2.72716
chi^2/NDF kaon = 2.43573
chi^2/NDF kaon = 2.37495
chi^2/NDF kaon = 1.95361
chi^2/NDF kaon = 2.52728
chi^2/NDF kaon = 2.43992
chi^2/NDF kaon = 2.35361
chi^2/NDF kaon = 2.42955
chi^2/NDF kaon = 1.75016
chi^2/NDF kaon = 2.49291
chi^2/NDF kaon = 2.00523
chi^2/NDF kaon = 2.22133
chi^2/NDF kaon = 2.14914
chi^2/NDF kaon = 2.38507
chi^2/NDF kaon = 1.89024
chi^2/NDF kaon = 2.10081
chi^2/NDF kaon = 1.98406
chi^2/NDF kaon = 2.12676
chi^2/NDF kaon = 2.51873
chi^2/NDF kaon = 2.51222
chi^2/NDF kaon = 1.96718
chi^2/NDF kaon = 1.96328
chi^2/NDF kaon = 8.32238
chi^2/NDF kaon = 2.68027
chi^2/NDF kaon = 2.0767
chi^2/NDF kaon = 1.87448
chi^2/NDF kaon = 2.45644
chi^2/NDF kaon = 2.49082
chi^2/NDF kaon = 2.25771
chi^2/NDF kaon = 1.87425
chi^2/NDF kaon = 1.67496
chi^2/NDF kaon = 1.7951
chi^2/NDF kaon = 1.73671
chi^2/NDF kaon = 2.81809
chi^2/NDF kaon = 1.94947
chi^2/NDF kaon = 2.38309
chi^2/NDF kaon = 1.96129
chi^2/NDF kaon = 2.35235
chi^2/NDF kaon = 1.92275
chi^2/NDF kaon = 7.22806
chi^2/NDF kaon = 1.7918
chi^2/NDF kaon = 1.89418
chi^2/NDF kaon = 2.72695
chi^2/NDF kaon = 2.33433
chi^2/NDF kaon = 1.79972
chi^2/NDF kaon = 2.36899
chi^2/NDF kaon = 1.78499
chi^2/NDF kaon = 2.27594
chi^2/NDF kaon = 2.05392
chi^2/NDF kaon = 2.25873
chi^2/NDF kaon = 2.18096
chi^2/NDF kaon = 2.18955
chi^2/NDF kaon = 2.14495
chi^2/NDF kaon = 2.6898
chi^2/NDF kaon = 3.05438
chi^2/NDF kaon = 2.08184
chi^2/NDF kaon = 2.97421
chi^2/NDF kaon = 2.36111
chi^2/NDF kaon = 1.96176
chi^2/NDF kaon = 2.44129
chi^2/NDF kaon = 1.64854
chi^2/NDF kaon = 1.94047
chi^2/NDF kaon = 2.32758
chi^2/NDF kaon = 2.53932
chi^2/NDF kaon = 2.18701
chi^2/NDF kaon = 2.76759
chi^2/NDF kaon = 1.75768
chi^2/NDF kaon = 2.1596
chi^2/NDF kaon = 3.21117
chi^2/NDF kaon = 2.01438
chi^2/NDF kaon = 2.53729
chi^2/NDF kaon = 2.0968
chi^2/NDF kaon = 2.40993
chi^2/NDF kaon = 2.17202
chi^2/NDF kaon = 2.23984
chi^2 single peak:
chi^2/NDF atmospheric = 3.41691
chi^2/NDF atmospheric = 3.84189
chi^2/NDF atmospheric = 3.56215
chi^2/NDF atmospheric = 2.96244
chi^2/NDF atmospheric = 4.05418
chi^2/NDF atmospheric = 3.76694
chi^2/NDF atmospheric = 4.04465
chi^2/NDF atmospheric = 4.72176
chi^2/NDF atmospheric = 3.30773
chi^2/NDF atmospheric = 7.13315
chi^2/NDF atmospheric = 3.87922
chi^2/NDF atmospheric = 3.44325
chi^2/NDF atmospheric = 3.21028
chi^2/NDF atmospheric = 4.81077
chi^2/NDF atmospheric = 3.33389
chi^2/NDF atmospheric = 3.91235
chi^2/NDF atmospheric = 6.50065
chi^2/NDF atmospheric = 3.81235
chi^2/NDF atmospheric = 3.58882
chi^2/NDF atmospheric = 4.50188
chi^2/NDF atmospheric = 3.91246
chi^2/NDF atmospheric = 3.96583
chi^2/NDF atmospheric = 2.50317
chi^2/NDF atmospheric = 3.71193
chi^2/NDF atmospheric = 4.26013
chi^2/NDF atmospheric = 4.0722
chi^2/NDF atmospheric = 3.67777
chi^2/NDF atmospheric = 20.3792
chi^2/NDF atmospheric = 3.07146
chi^2/NDF atmospheric = 3.45133
chi^2/NDF atmospheric = 3.93706
chi^2/NDF atmospheric = 3.6635
chi^2/NDF atmospheric = 4.77791
chi^2/NDF atmospheric = 4.15551
chi^2/NDF atmospheric = 4.27214
chi^2/NDF atmospheric = 3.43014
chi^2/NDF atmospheric = 3.8025
chi^2/NDF atmospheric = 3.67296
